"","d15N","d13C"
"1",5.149078475,-20.67480752
"2",6.087280245,-20.56345475
"3",5.25957333,-20.48724644
"4",5.174864048,-20.92116017
"5",5.329507503,-18.22819652
"6",5.285690296,-20.54610758
"7",5.402212143,-20.67471315
"8",5.562931932,-20.27717307
"9",5.311829922,-20.63020045
"10",5.311403479,-20.89480145
"11",5.654374151,-20.83736874
"12",5.371750225,-21.24229278
"13",5.440143204,-20.93783861
"14",5.562931932,-21.08499146
"15",5.767849664,-20.34902947
"16",4.990559948,-21.10871261
"17",5.036574622,-23.28533466
"18",4.98434069,-20.83904262
"19",5.512779855,-20.84411161
"20",5.24450585,-20.92622916
"21",4.782363675,-20.75793887
"22",5.532796972,-19.88911488
"23",4.576178961,-20.72370585
