
#################################################################
# Summary Statistics
#################################################################

DIC = -23.46796

            Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Epsilon.1  0.279 0.211 0.067 0.082 0.150 0.229 0.341 0.646 0.805
Epsilon.2  0.723 0.497 0.143 0.194 0.380 0.600 0.921 1.648 1.993
Mound.SD   1.891 1.966 0.281 0.342 0.718 1.294 2.355 5.439 7.269
p.global.1 0.080 0.123 0.004 0.007 0.019 0.035 0.080 0.314 0.460
p.global.2 0.379 0.158 0.090 0.117 0.269 0.376 0.490 0.642 0.694
p.global.3 0.542 0.164 0.196 0.257 0.436 0.551 0.655 0.801 0.846
p.Off.1    0.035 0.012 0.010 0.015 0.028 0.035 0.043 0.055 0.059
p.On.1     0.008 0.008 0.000 0.000 0.002 0.006 0.013 0.024 0.028
p.Off.2    0.340 0.059 0.236 0.251 0.300 0.336 0.376 0.439 0.467
p.On.2     0.424 0.064 0.315 0.331 0.379 0.419 0.464 0.535 0.560
p.Off.3    0.625 0.063 0.492 0.519 0.585 0.630 0.668 0.720 0.740
p.On.3     0.567 0.067 0.424 0.450 0.525 0.574 0.616 0.663 0.680
