"","d15N","d13C","Density"
"1",4.013383204,-19.48166394,"76"
"2",4.458589476,-19.62335657,"200"
"3",3.98,-19.48563689,"100"
"4",4.461065543,-20.21504112,"304"
"5",4.698238799,-20.20687995,"200"
"6",4.13471194,-19.47951602,"68"
"7",4.671165445,-19.3199245,"84"
"8",4.54281769,-19.76140197,"260"
"9",4.860678926,-21.09804111,"172"
"10",4.603983417,-20.67487377,"144"
"11",4.577912779,-19.88041778,"120"
"12",4.760407243,-19.85803874,"68"
"13",4.546399541,-19.72783341,"128"
"14",4.82458112,-19.75631582,"56"
"15",4.821572969,-19.77259149,"8"
"16",4.677181746,-20.46803727,"96"
"17",4.244008075,-20.54760864,"172"
"18",4.589568505,-20.09772436,"152"
"19",4.368344962,-19.44483106,"228"
