"","AreaType","d15N","d13C"
"1","mussels",4.835917,-20.39968751
"2","mussels",4.977121716,-20.76183926
"3","mussels",5.001734325,-20.85161209
"4","mussels",4.677172093,-20.04263648
"5","mussels",4.926212033,-20.60575695
"6","mussels",4.560685669,-20.56291083
"7","mussels",4.807606724,-20.65982468
"8","cordgrass only",4.392052328,-19.5907119
"9","cordgrass only",3.295402104,-19.5305233
"10","cordgrass only",4.557869654,-19.65702138
"11","mussels",4.805584562,-20.85365238
"12","cordgrass only",4.873327006,-19.95898453
"13","cordgrass only",4.680210486,-19.48155631
"14","cordgrass only",4.596290742,-19.9538838
"15","cordgrass only",4.589213173,-19.99877022
"16","cordgrass only",4.36,-19.28058759
