
#################################################################
# Summary Statistics
#################################################################

DIC = -31.43624

            Mean    SD  2.5%    5%   25%   50%   75%    95%  97.5%
Epsilon.1  0.637 0.335 0.185 0.225 0.392 0.575 0.808  1.274  1.470
Epsilon.2  0.439 0.234 0.123 0.153 0.274 0.391 0.559  0.862  1.042
Mound.SD   4.510 4.965 0.105 0.161 0.612 2.417 7.050 15.634 17.602
p.global.1 0.129 0.193 0.000 0.001 0.006 0.022 0.191  0.568  0.691
p.global.2 0.359 0.185 0.053 0.085 0.232 0.336 0.463  0.713  0.800
p.global.3 0.512 0.224 0.053 0.094 0.340 0.563 0.687  0.814  0.850
p.Off.1    0.005 0.005 0.000 0.000 0.000 0.003 0.008  0.016  0.018
p.On.1     0.002 0.003 0.000 0.000 0.000 0.001 0.004  0.010  0.012
p.Off.2    0.281 0.045 0.199 0.210 0.250 0.279 0.309  0.355  0.373
p.On.2     0.331 0.048 0.247 0.257 0.299 0.329 0.362  0.413  0.431
p.Off.3    0.714 0.046 0.616 0.637 0.685 0.716 0.746  0.788  0.798
p.On.3     0.666 0.049 0.563 0.583 0.635 0.668 0.700  0.742  0.753
