AreaType,DryWeight_g,PercWtTOC,PercWtTN
cordgrass only,0.2634,2.928382688,0.244031891
cordgrass only,0.3264,NA,0.287977941
cordgrass only,0.2556,NA,0.13922144
cordgrass only,0.3627,NA,0.291935484
cordgrass only,0.2805,NA,0.269340463
cordgrass only,0.3936,NA,0.265579268
cordgrass only,0.4518,3.752412572,0.314391324
cordgrass only,0.3246,NA,0.242174985
cordgrass only,0.2893,3.05,0.34
cordgrass only,0.2805,3.34,0.35
cordgrass only,0.2652,3.11,0.415
cordgrass only,0.4135,3.72,0.39
cordgrass only,0.3599,3.7,0.43
cordgrass only,0.3536,3.55,0.4
mussels,0.4736,NA,0.241925676
mussels,3.2444,3.835710763,0.446545432
mussels,1.1351,NA,0.363752973
mussels,0.5066,NA,0.341666009
mussels,1.2867,NA,0.412900832
mussels,1.5822,3.714879282,0.404908987
mussels,2.8076,3.606917652,0.42911882
mussels,0.6144,3.308925781,0.329160156
mussels,1.4332,3.63,0.4
mussels,1.8915,3.7,0.45
mussels,1.7527,3.62,0.43
mussels,2.0033,3.52,0.41
